1,6
1,2
1,8
1,8
1,8
1,3
1,3
1,8
1,10
1,5
1,6
1,2
1,1
1,7
1,5
1,5
1,8
2,6
2,2
2,10
2,10
2,8
2,10
2,3
2,3
2,8
2,10
2,2
2,6
2,8
2,2
2,5
2,3
2,3
3,2
3,5
3,10
3,8
3,8
3,10
3,10
3,4
3,8
3,6
3,5
3,2
3,2
3,9
3,5
3,3
3,3
4,6
4,3
4,1
4,3
4,3
4,3
4,10
4,3
4,10
4,1
4,6
4,9
4,10
4,2
4,5
4,10
4,8
5,6
5,4
5,8
5,3
5,8
5,3
5,3
5,8
5,8
5,2
5,6
5,9
5,5
5,10
5,5
5,3
5,10
6,1
6,9
6,8
6,3
6,8
6,10
6,8
6,8
6,4
6,5
6,6
6,6
6,10
6,2
6,5
6,10
6,9
7,9
7,9
7,5
7,3
7,3
7,3
7,8
7,10
7,8
7,5
7,2
7,7
7,8
7,1
7,10
7,4
7,10
8,0
8,8
8,10
8,3
8,8
8,3
8,3
8,10
8,8
8,5
8,2
8,8
8,6
8,5
8,5
8,8
8,8
9,2
9,1
9,10
9,10
9,8
9,3
9,3
9,9
9,8
9,2
9,8
9,5
9,5
9,2
9,4
9,8
9,3
10,1
10,8
10,8
10,8
10,8
10,10
10,10
10,8
10,8
10,1
10,2
10,5
10,5
10,1
10,4
10,1
10,10
11,1
11,5
11,4
11,5
11,8
11,3
11,4
11,4
11,8
11,10
11,9
11,8
11,10
11,2
11,4
11,3
11,8
12,1
12,6
12,10
12,5
12,8
12,4
12,4
12,3
12,8
12,5
12,2
12,5
12,6
12,2
12,3
12,5
12,10
13,1
13,10
13,4
13,10
13,8
13,10
13,8
13,4
13,8
13,10
13,6
13,9
13,10
13,6
13,5
13,8
13,8
14,5
14,9
14,10
14,10
14,3
14,3
14,10
14,3
14,8
14,2
14,2
14,9
14,3
14,1
14,10
14,8
14,10
15,3
15,10
15,4
15,10
15,8
15,3
15,8
15,8
15,8
15,2
15,8
15,1
15,5
15,10
15,10
15,3
15,8
16,1
16,3
16,4
16,10
16,8
16,4
16,8
16,5
16,8
16,6
16,5
16,5
16,10
16,4
16,3
16,3
16,8
17,3
17,4
17,3
17,4
17,8
17,4
17,5
17,8
17,4
17,3
17,8
17,2
17,5
17,9
17,3
17,3
17,8
18,3
18,10
18,8
18,3
18,8
18,4
18,8
18,3
18,4
18,2
18,8
18,10
18,10
18,9
18,3
18,8
18,8
19,5
19,1
19,6
19,8
19,8
19,4
19,8
19,8
19,8
19,2
19,2
19,8
19,10
19,2
19,8
19,5
19,8
20,9
20,3
20,8
20,8
20,8
20,10
20,4
20,8
20,8
20,2
20,6
20,2
20,10
20,9
20,4
20,5
20,8
21,5
21,1
21,10
21,3
21,4
21,8
21,8
21,8
21,8
21,2
21,5
21,1
21,6
21,2
21,3
21,8
21,5
22,2
22,3
22,10
22,3
22,8
22,3
22,8
22,2
22,8
22,2
22,8
22,8
22,2
22,7
22,4
22,10
22,8
23,7
23,10
23,3
23,3
23,5
23,8
23,8
23,2
23,8
23,2
23,5
23,8
23,4
23,8
23,4
23,8
23,8
24,9
24,1
24,2
24,8
24,8
24,10
24,8
24,4
24,8
24,10
24,3
24,3
24,3
24,2
24,3
24,3
24,10
25,5
25,5
25,8
25,8
25,8
25,6
25,3
25,8
25,8
25,10
25,5
25,2
25,10
25,2
25,3
25,8
25,8
26,10
26,5
26,8
26,8
26,8
26,8
26,8
26,8
26,8
26,9
26,6
26,1
26,3
26,8
26,8
26,8
26,8
27,10
27,2
27,3
27,4
27,8
27,10
27,8
27,3
27,10
27,6
27,2
27,5
27,5
27,5
27,8
27,4
27,8
28,9
28,8
28,10
28,4
28,8
28,8
28,8
28,3
28,3
28,5
28,2
28,8
28,2
28,9
28,3
28,1
28,5
29,10
29,3
29,8
29,4
29,8
29,8
29,8
29,8
29,8
29,5
29,2
29,2
29,2
29,8
29,8
29,8
29,8
30,1
30,10
30,10
30,3
30,8
30,8
30,3
30,8
30,3
30,1
30,1
30,2
30,8
30,8
30,8
30,8
30,8
31,5
31,8
31,8
31,10
31,8
31,8
31,4
31,8
31,3
31,9
31,1
31,1
31,8
31,6
31,8
31,8
31,8
32,5
32,3
32,8
32,8
32,10
32,8
32,8
32,4
32,8
32,10
32,2
32,2
32,9
32,2
32,8
32,3
32,5
33,10
33,3
33,8
33,8
33,3
33,10
33,10
33,2
33,10
33,1
33,2
33,9
33,2
33,2
33,8
33,4
33,8
34,2
34,3
34,8
34,10
34,4
34,4
34,3
34,2
34,8
34,5
34,4
34,9
34,10
34,0
34,8
34,8
34,10
35,9
35,5
35,4
35,10
35,8
35,4
35,5
35,8
35,8
35,10
35,2
35,9
35,3
35,1
35,8
35,3
36,0
36,10
36,3
36,10
36,3
36,10
36,8
36,4
36,8
36,2
36,2
36,9
36,3
36,8
36,8
36,10
37,11
37,8
37,8
37,10
37,8
37,10
37,5
37,3
37,8
37,8
37,3
37,1
37,8
37,6
37,8
37,10
38,6
38,4
38,10
38,3
38,3
38,5
38,3
38,3
38,3
38,7
38,5
38,1
38,5
38,8
38,8
38,4
39,1
39,3
39,3
39,3
39,10
39,10
39,3
39,8
39,4
39,2
39,2
39,1
39,10
39,6
39,8
39,3
40,2
40,8
40,3
40,3
40,3
40,3
40,10
40,8
40,4
40,5
40,8
40,1
40,3
40,2
40,8
40,1
41,4
41,10
41,8
41,8
41,3
41,4
41,3
41,4
41,8
41,2
41,8
41,1
41,2
41,1
41,8
41,8
42,2
42,5
42,4
42,8
42,8
42,8
42,10
42,8
42,8
42,2
42,2
42,1
42,2
42,5
42,4
42,8
43,5
43,5
43,3
43,3
43,3
43,3
43,5
43,8
43,10
43,5
43,6
43,3
43,2
43,6
43,8
43,10
44,2
44,4
44,5
44,3
44,3
44,3
44,5
44,8
44,8
44,9
44,7
44,4
44,9
44,2
44,8
44,8
45,1
45,3
45,5
45,10
45,8
45,8
45,6
45,8
45,8
45,1
45,6
45,1
45,1
45,6
45,3
45,6
46,10
46,10
46,5
46,8
46,8
46,5
46,5
46,8
46,8
46,9
46,2
